#,Full Name,FullTeamName,Team,Pos.,Ht.,Year,Hometown,Previous School,ImageURL,clean_name,ADP
9,Maia Jones,Santa Clara Broncos,santa clara,G,5-10,R-Jr.,"Tasman, New Zealand",,https://santaclarabroncos.com/images/2025/9/18/jones_maiaDJR13254.JPG?width=80&quality=90,maia jones,140
10,Lauren Grover,Santa Clara Broncos,santa clara,F,6-1,Sr.,"Corona, CA",,https://santaclarabroncos.com/images/2025/9/18/grover_laurenDJR13261.JPG?width=80&quality=90,lauren grover,51
11,Alana Goodchild,Santa Clara Broncos,santa clara,F,6-2,Sr.,"Sydney, Australia",,https://santaclarabroncos.com/images/2025/9/18/goodchild_alannaDJR13217.JPG?width=80&quality=90,alana goodchild,26
12,Sophie Glancey,Santa Clara Broncos,santa clara,F,6-2,Gr.,"Boise, ID",,https://santaclarabroncos.com/images/2025/9/18/glancey_sophieDJR13209_dcKrR.JPG?width=80&quality=90,sophie glancey,133
13,Ava Schmidt,Santa Clara Broncos,santa clara,F,6-2,Jr.,"Sammamish, WA",,https://santaclarabroncos.com/images/2025/9/18/schmidt_avaDJR13235.JPG?width=80&quality=90,ava schmidt,39
20,Delainey Miller,Santa Clara Broncos,santa clara,G,5-10,Fr.,"Aurora, CO",,https://santaclarabroncos.com/images/2025/9/18/miller_delaneyDJR13189.JPG?width=80&quality=90,delainey miller,151
23,Ashley Hawkins,Santa Clara Broncos,santa clara,G,5-6,Gr.,"Long Beach, CA",,https://santaclarabroncos.com/images/2025/9/18/hawkins_ashleyDJR13268.JPG?width=80&quality=90,ashley hawkins,146
24,Reilly Clark,Santa Clara Broncos,santa clara,G,5-10,R-So.,"Tucson, AZ",,https://santaclarabroncos.com/images/2025/9/18/clark_reillyDJR13192.JPG?width=80&quality=90,reilly clark,53
30,Kylee Fox,Santa Clara Broncos,santa clara,F,5-11,Jr.,"Richland, WA",,https://santaclarabroncos.com/images/2025/9/18/fox_kyleeDJR13231_lFMvf.JPG?width=80&quality=90,kylee fox,149
34,Tyler Gildersleeve-Stiles,Santa Clara Broncos,santa clara,F,6-1,Fr.,"Snohomish, WA",,https://images.sidearmdev.com/resize?url=https%3a%2f%2fdbukjj6eu5tsf.cloudfront.net%2fsidearm.sites%2fsantaclara.sidearmsports.com%2fimages%2f2025%2f9%2f18%2fgildersleevestiles_tylerDJR13266_mSdFb.JPG&width=80&type=webp&quality=90,tyler gildersleeve-stiles,16
0,Jada Hunter,Saint Mary's Gaels,smc,G,5-10,Jr.,"Vallejo, CA",Laney College,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Jada_Hunter.png?width=80&quality=90,jada hunter,79
2,Amy Kurkowski,Saint Mary's Gaels,smc,G,6-1,So.,"Melbourne, Australia",,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Amy_Kurkowski.png?width=80&quality=90,amy kurkowski,23
3,Mauriana Hashemian-Orr,Saint Mary's Gaels,smc,G,5-7,So.,"Portland, OR",,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/17/MHO.jpg?width=80&quality=90,mauriana hashemian-orr,111
4,Charlece Ohiaeri,Saint Mary's Gaels,smc,G,6-1,Jr.,"Las Vegas, NV",Depaul,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Charlece_Ohiaeri_Summer_Headshot.png?width=80&quality=90,charlece ohiaeri,140
5,Abigail Shoff,Saint Mary's Gaels,smc,F,6-0,Jr.,"Redding, CA",Long Beach State,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Abigail_Shoff.png?width=80&quality=90,abigail shoff,138
7,Edie Clarke,Saint Mary's Gaels,smc,F,6-4,So.,"Melbourne, Australia",,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Edie_Clarke.png?width=80&quality=90,edie clarke,51
8,Emily Foy,Saint Mary's Gaels,smc,G,6-1,Jr.,"Newcastle, Australia",,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Emily_Foy.png?width=80&quality=90,emily foy,159
10,Georgia Grigoropoulou,Saint Mary's Gaels,smc,F,6-3,Sr.,"Athens, Greece",Santa Clara,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Georgia_Grigoropoulou_Summer_Headshot.png?width=80&quality=90,georgia grigoropoulou,106
11,Coco Urlacher,Saint Mary's Gaels,smc,G,5-10,Fr.,"Palatine, IL",,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Coco_Urlacher_Summer_Headshot.png?width=80&quality=90,coco urlacher,44
13,Malia Latu,Saint Mary's Gaels,smc,G,5-8,Gr.,"East Palo Alto, CA",Santa Clara,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Malia_Latu_Summer_Headshot.png?width=80&quality=90,malia latu,68
22,Melesungu Afeaki,Saint Mary's Gaels,smc,F,6-2,Sr.,"San Bruno, CA",University of San Diego,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Melesungu_Afeaki.png?width=80&quality=90,melesungu afeaki,118
23,Addi Wedin,Saint Mary's Gaels,smc,G,5-10,R-Jr.,"Happy Valley, OR",,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/17/AW.jpg?width=80&quality=90,addi wedin,76
24,Colleena Bryant,Saint Mary's Gaels,smc,G,5-7,Fr.,"Detroit, MI",,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Colleena_Bryant_Summer_Headshot.png?width=80&quality=90,colleena bryant,83
